,Time,Left_motor,Right_motor
201,1637668640.9851596,0.9893083391257759,-0.9889751871808232
202,1637668641.0350053,0.9893055212210047,-0.9889718041418829
203,1637668641.0860977,0.9893024320164996,-0.9889681532328609
204,1637668641.1351905,0.9893008060378984,-0.9889662460048401
205,1637668641.1852033,0.9892974334124294,-0.9889623086674771
206,1637668641.234994,0.9892957040888082,-0.988960295813671
207,1637668641.2849762,0.9892922039363341,-0.9889562270278929
208,1637668641.3350596,0.9892904513660513,-0.9889541899644234
209,1637668641.3851657,0.9892887095256013,-0.988952164054001
210,1637668641.4349346,0.9892852958387774,-0.9889481855205295
211,1637668641.4849536,0.9892836430667578,-0.9889462531261959
212,1637668641.5350218,0.9892804935351709,-0.9889425532129483
213,1637668641.5848365,0.9892776154292132,-0.9889391414057811
214,1637668641.6349752,0.989276301545784,-0.9889375688985996
215,1637668641.6854472,0.989273969286695,-0.9889347400975115
216,1637668641.735147,0.9892729681750588,-0.988933502860862
217,1637668641.785194,0.9892720880066759,-0.9889323959046098
218,1637668641.8350418,0.9892707207204198,-0.9889306069034993
219,1637668641.8850346,0.9892702474320649,-0.9889299406532716
220,1637668641.9349964,0.9892697516732014,-0.9889290997483237
221,1637668641.9849405,0.9892697392167762,-0.9889289371109129
222,1637668642.035038,0.9892702044542842,-0.9889291517351915
223,1637668642.0847845,0.9892713391248041,-0.988930108566897
224,1637668642.1349094,0.9892721600367422,-0.9889308701722948
225,1637668642.1849241,0.9892731494284355,-0.988931821170473
226,1637668642.2347984,0.9892756259021896,-0.9889342868464435
227,1637668642.2850962,0.9892771065360442,-0.9889357965695685
228,1637668642.3350716,0.9892805286919737,-0.9889393491559992
229,1637668642.3847895,0.989284521480494,-0.9889435722600821
230,1637668642.434921,0.9892867116470675,-0.9889459160777795
231,1637668642.4847965,0.9892914307484362,-0.9889510207894796
232,1637668642.5349622,0.9892939375108791,-0.9889537597634313
233,1637668642.5848165,1.032016688733918,-1.0320760834749105
234,1637668642.6348615,1.0346202467930594,-1.0342154132846535
235,1637668642.6847785,1.0756909944596051,-1.0758487173361102
236,1637668642.7350383,1.0799347360252203,-1.0794873064350488
237,1637668642.7847824,1.0792451873465587,-1.0789130675972933
238,1637668642.834957,1.0792398886313583,-1.078910445640151
239,1637668642.8852162,1.0792445896181737,-1.0789149758373273
