,Time,Left_motor,Right_motor
0,1637668495.2935755,1.6299352638471376e-05,1.9169518569894795e-05
1,1637668495.3435895,1.63001003494756e-05,1.916953287572909e-05
2,1637668495.3936734,1.6301594812168085e-05,1.916956213185439e-05
3,1637668495.4435818,1.6302341564439216e-05,1.9169577091554535e-05
4,1637668495.4935668,1.6303834124403727e-05,1.9169607651137177e-05
5,1637668495.5436633,1.630457992668477e-05,1.9169623258430413e-05
6,1637668495.593727,1.6306070580646148e-05,1.9169655126077823e-05
7,1637668495.6435742,1.6306815429995014e-05,1.916967138076986e-05
8,1637668495.6935215,1.630830418278273e-05,1.9169704539745425e-05
9,1637668495.7438157,1.630904808588851e-05,1.9169721443140775e-05
10,1637668495.7936547,1.6310534940139343e-05,1.916975589649761e-05
11,1637668495.8437707,1.631127789519793e-05,1.9169773437716087e-05
12,1637668495.893622,1.6312762860098973e-05,1.916980918037492e-05
13,1637668495.9435654,1.631350486869243e-05,1.9169827368992198e-05
14,1637668495.993538,1.6314987941190573e-05,1.9169864391266334e-05
15,1637668496.0436206,1.631572900270828e-05,1.9169883218983497e-05
16,1637668496.0934594,1.6317210177141384e-05,1.9169921532530276e-05
17,1637668496.143578,1.6317950302852102e-05,1.9169940985358513e-05
18,1637668496.193753,1.6319429592459578e-05,1.9169980567862455e-05
19,1637668496.2435381,1.6320168786637668e-05,1.9170000651574925e-05
20,1637668496.2939072,1.6321646181649552e-05,1.9170041509891655e-05
21,1637668496.3436837,1.632238441928724e-05,1.917006224599893e-05
22,1637668496.3935182,1.6323859957617648e-05,1.9170104341437177e-05
23,1637668496.443554,1.6324597231720528e-05,1.9170125732770327e-05
24,1637668496.4935155,1.632607090001903e-05,1.9170169086257793e-05
25,1637668496.5433955,1.6327543304578418e-05,1.917021329297941e-05
26,1637668496.5935123,1.6328279033639426e-05,1.9170235715154638e-05
27,1637668496.6428776,0.2195575428885816,0.21855888001864587
28,1637668496.692564,0.2173489793951894,0.21728213415597225
29,1637668496.7429066,0.43797502579595693,0.4373842455349347
30,1637668496.792829,0.6561373663153818,0.6553501856132495
31,1637668496.8426921,0.6518080663860736,0.652190697589632
32,1637668496.8927498,0.6520610230998741,0.6520008966237207
33,1637668496.9428704,0.8690962668152085,0.869331237501076
34,1637668496.9928553,1.0916293137081365,1.0915647057630733
35,1637668497.0431771,1.0868246755309385,1.0867987619544421
36,1637668497.0928254,1.308078119338837,1.3089113181994756
37,1637668497.1426547,1.5209205361780243,1.520850243163053
38,1637668497.1929162,1.5215582120254816,1.5216174212438096
39,1637668497.243154,1.7382490765579526,1.737968408095329
