,Time,Left_motor,Right_motor
0,1637668406.0335388,-0.0,0.0
1,1637668406.0835562,-0.0,0.0
2,1637668406.1335666,-0.0,0.0
3,1637668406.1838512,-0.0,0.0
4,1637668406.2348423,-0.0,0.0
5,1637668406.2847435,-0.0,0.0
6,1637668406.3335607,-0.0,0.0
7,1637668406.3838727,-0.0,0.0
8,1637668406.4333446,-0.0,0.0
9,1637668406.4836829,-0.0,0.0
10,1637668406.5336125,0.01785278465598822,0.0
11,1637668406.5912344,-0.0,0.0
12,1637668406.6335826,-0.0,0.0
13,1637668406.6833925,-0.0,0.0
14,1637668406.733309,-0.0,0.0
15,1637668406.7835193,-0.0,0.0
16,1637668406.8333492,-0.0,0.0
17,1637668406.883666,-0.0,0.0
18,1637668406.9335325,-0.0,0.0
19,1637668406.9835606,-0.0,0.0
20,1637668407.0333178,-0.0,0.0
21,1637668407.083326,0.005950928824022412,0.0
22,1637668407.1332338,0.029754644483327868,0.01785278465598822
23,1637668407.183345,0.08331299409270287,0.0
24,1637668407.2337842,0.14282227724790575,0.04165649995207787
25,1637668407.283558,0.20233156621456147,0.03570557221770287
26,1637668407.3339243,0.23208620488643647,0.053558361232280735
27,1637668407.3836255,0.3570556873083115,0.16662599980831147
28,1637668407.4332137,0.41061406016349794,0.08331301152706147
29,1637668407.4831815,0.618896530866623,0.23803713262081147
30,1637668407.533295,0.660553025007248,0.42846684336662294
31,1637668407.583321,0.9938050246238709,0.654602097272873
32,1637668407.633216,1.166381928920746,0.9640503859519959
33,1637668407.6835349,1.309204194545746,1.237793061733246
34,1637668407.7334874,1.5650941801071168,1.225891206264496
35,1637668407.783125,1.7317201566696168,1.8090822172164918
36,1637668407.833391,1.7495729398727418,1.9459535551071168
37,1637668407.8830874,2.053070254325867,2.291107363700867
38,1637668407.9346924,2.529144473075867,2.505340762138367
39,1637668407.9833968,2.755279726982117,2.410125918388367
40,1637668408.0335777,2.558899111747742,3.058777041435242
41,1637668408.083416,3.0825809383392335,3.2789615535736085
42,1637668408.133247,3.2492069149017335,3.4872440242767335
43,1637668408.1833997,3.4039310359954835,3.3979801082611085
44,1637668408.2331529,3.3920291805267335,3.5824588680267335
45,1637668408.2832322,3.6836246395111085,3.7371829891204835
46,1637668408.3330476,3.5408023738861085,3.5824588680267335
